gene_id,genomic_position,transcript_id,transcript_position,HCT116_model,n_reads,y_true,HEK293T_model,Arabidopsis_model
ENSG00000224032,112161038,ENST00000413221,512,0.19081041,63,False,0.34899074,0.012517023
ENSG00000224032,112161186,ENST00000413221,660,0.5200883,61,True,0.6273249,0.47229785
ENSG00000224032,112161190,ENST00000413221,664,0.8162246,56,True,0.82911825,0.7714902
ENSG00000224032,112161222,ENST00000413221,696,0.09302132,58,False,0.22524413,0.08656657
ENSG00000224032,112161729,ENST00000413221,796,0.1584046,64,False,0.36542737,0.037361644
ENSG00000224032,112161768,ENST00000413221,835,0.3008192,65,False,0.22299023,0.11802912
ENSG00000224032,112162237,ENST00000413221,929,0.015374184,56,False,0.20563483,0.10840829
ENSG00000224032,112162276,ENST00000413221,968,0.19780722,40,False,0.29478228,0.0392277
ENSG00000224032,112161038,ENST00000427306,509,0.36807665,26,False,0.4181284,0.059142184
ENSG00000224032,112161186,ENST00000427306,657,0.6063274,27,True,0.6621731,0.46861944
ENSG00000224032,112161190,ENST00000427306,661,0.7887519,27,True,0.82367146,0.5758655
ENSG00000224032,112161222,ENST00000427306,693,0.043962978,24,False,0.1726077,0.07398288
ENSG00000224032,112161729,ENST00000427306,793,0.24706256,30,False,0.4243339,0.0037628294
ENSG00000224032,112162237,ENST00000427306,1301,0.023611903,30,False,0.2606384,0.082331456
ENSG00000224032,112162276,ENST00000427306,1340,0.19384713,20,False,0.3401955,0.047504783
ENSG00000233016,136728142,ENST00000416970,42,0.5337186,130,False,0.5805303,0.1972936
ENSG00000233016,136728058,ENST00000416970,126,0.58488387,180,False,0.57488155,0.15610708
ENSG00000233016,136727065,ENST00000416970,325,0.15146051,178,False,0.26527688,0.10593754
ENSG00000233016,136726401,ENST00000416970,360,0.014741695,193,False,0.05814334,0.0014580727
ENSG00000233016,136726385,ENST00000416970,376,0.17050025,184,False,0.34056908,0.13852039
ENSG00000233016,136726369,ENST00000416970,392,0.45005435,160,False,0.40605563,0.21443458
ENSG00000233016,136726341,ENST00000416970,420,0.37703753,169,False,0.3149364,0.35167575
ENSG00000233016,136726332,ENST00000416970,429,0.38626045,145,False,0.22224724,0.44316712
ENSG00000233016,136724855,ENST00000416970,591,0.4359606,207,True,0.3269786,0.5446531
ENSG00000233016,136724786,ENST00000416970,660,0.26059026,223,True,0.21722326,0.0714635
ENSG00000233016,136724767,ENST00000416970,679,0.83675826,217,True,0.7813043,0.11907383
ENSG00000233016,136724757,ENST00000416970,689,0.15996078,211,False,0.18619397,0.10090345
ENSG00000233016,136724750,ENST00000416970,696,0.4065384,178,False,0.4225347,0.76774204
ENSG00000233016,136724706,ENST00000416970,740,0.06768193,202,False,0.13486323,0.302183
ENSG00000177410,49279158,ENST00000371743,593,0.08467616,21,False,0.20026438,0.020991575
ENSG00000177410,49279181,ENST00000371743,616,0.006689119,21,False,0.055243112,0.0021814823
ENSG00000177410,49289128,ENST00000371743,875,0.13584897,21,False,0.11256741,0.022833358
ENSG00000177410,49279158,ENST00000450535,593,0.19519341,41,False,0.3042712,0.29310116
